city_id,市名,都道府県,実装状態,グループ,人口順位
omachi,白石町,佐賀県,未実装,グループ1,625
tateno,神埼市,佐賀県,未実装,グループ1,265
arita,有田町,佐賀県,未実装,グループ1,630
siida,太良町,佐賀県,未実装,グループ1,635
nagasaki,長崎市,長崎県,実装済,,215
sasebo,佐世保市,長崎県,実装済,,180
isahaya,諫早市,長崎県,未実装,グループ1,215
omura,大村市,長崎県,未実装,グループ1,250
shimabara,島原市,長崎県,未実装,グループ1,270
minamitakaki,南島原市,長崎県,未実装,グループ1,275
saikai,西海市,長崎県,未実装,グループ1,280
tsushima,対馬市,長崎県,実装済,,290
iki,壱岐市,長崎県,未実装,グループ1,295
goto,五島市,長崎県,未実装,グループ1,285
nazechi,新上五島町,長崎県,未実装,グループ1,640
ojika,小値賀町,長崎県,未実装,グループ1,645
kawatana,川棚町,長崎県,未実装,グループ1,650
east_sonogi,東彼杵町,長崎県,未実装,グループ1,655
varadero,波佐見町,長崎県,未実装,グループ1,660
higashisonogi,東彼杵町,長崎県,未実装,グループ1,655
enomoto,江北町,長崎県,未実装,グループ1,665
kamigoto,上五島町,長崎県,未実装,グループ1,670
kumamoto,熊本市,熊本県,実装済,,91
arao,荒尾市,熊本県,未実装,グループ1,250
yatsushiro,八代市,熊本県,未実装,グループ1,215
tamana,玉名市,熊本県,未実装,グループ1,270
yamaga,山鹿市,熊本県,未実装,グループ1,260
tomochi,菊池市,熊本県,未実装,グループ1,255
aso,阿蘇市,熊本県,未実装,グループ1,285
miyada,水上村,熊本県,未実装,グループ1,675
sanyodo,相良町,熊本県,未実装,グループ1,680
ashikita,芦北町,熊本県,未実装,グループ1,685
kyushucho,錦町,熊本県,未実装,グループ1,690
hotomoni,五木村,熊本県,未実装,グループ1,695
ugui,氷川町,熊本県,未実装,グループ1,700
uchinomaki,有明町,熊本県,未実装,グループ1,705
minamiaso,南阿蘇村,熊本県,未実装,グループ1,710
takamori,高森町,熊本県,未実装,グループ1,715
naka_aso,中央町,熊本県,未実装,グループ1,720
oita,大分市,大分県,実装済,,235
beppu,別府市,大分県,実装済,,250
usuki,臼杵市,大分県,未実装,グループ1,275
saiki,佐伯市,大分県,未実装,グループ1,280
taketa,竹田市,大分県,未実装,グループ1,285
bungo_takada,豊後高田市,大分県,未実装,グループ1,290
nakatsu,中津市,大分県,未実装,グループ1,265
yufuin,由布市,大分県,未実装,グループ1,270
kiji,杵築市,大分県,未実装,グループ1,275
kunisaki,国東市,大分県,未実装,グループ1,280
kokonoe,黒部町,大分県,未実装,グループ1,725
himeshima,姫島村,大分県,未実装,グループ1,730
haruka,日出町,大分県,未実装,グループ1,735
miyazaki,宮崎市,宮崎県,実装済,,225
miyakonojo,都城市,宮崎県,未実装,グループ1,245
nobeoka,延岡市,宮崎県,未実装,グループ1,235
nichinan,日南市,宮崎県,未実装,グループ1,275
kobayashi,小林市,宮崎県,未実装,グループ1,265
saito,西都市,宮崎県,未実装,グループ1,280
kushima,串間市,宮崎県,未実装,グループ1,285
kitaguni,北郷町,宮崎県,未実装,グループ1,740
takaharu,高原町,宮崎県,未実装,グループ1,745
kagoshima,鹿児島市,鹿児島県,実装済,,190
kirishima,霧島市,鹿児島県,未実装,グループ1,240
kanoya,鹿屋市,鹿児島県,未実装,グループ1,235
akune,阿久根市,鹿児島県,未実装,グループ1,270
izumi,いちき串木野市,鹿児島県,未実装,グループ1,275
minaminisshio,南九州市,鹿児島県,未実装,グループ1,280
satsuma_sendai,薩摩川内市,鹿児島県,未実装,グループ1,260
ichiki,伊佐市,鹿児島県,未実装,グループ1,285
soo,曽於市,鹿児島県,未実装,グループ1,290
tarumizu,垂水市,鹿児島県,未実装,グループ1,295
amami,奄美市,鹿児島県,未実装,グループ1,300
osumi,大崎町,鹿児島県,未実装,グループ1,750
neshio,錦江町,鹿児島県,未実装,グループ1,755
makizono,南大隅町,鹿児島県,未実装,グループ1,760
minamitane,南種子町,鹿児島県,未実装,グループ1,765
nakadomari,中種子町,鹿児島県,未実装,グループ1,770
nakijin,佐多町,鹿児島県,未実装,グループ1,775
yonaguni,与論町,鹿児島県,未実装,グループ1,780
satsuma,さつま町,鹿児島県,未実装,グループ1,785
yusui,湧水町,鹿児島県,未実装,グループ1,790
naha,那覇市,沖縄県,実装済,,180
ishigaki,石垣市,沖縄県,未実装,グループ1,250
itoman,糸満市,沖縄県,未実装,グループ1,260
urasoe,浦添市,沖縄県,未実装,グループ1,255
okinawa,沖縄市,沖縄県,未実装,グループ1,245
nanjo,南城市,沖縄県,未実装,グループ1,270
kin,金武町,沖縄県,未実装,グループ1,795
motobu,本部町,沖縄県,未実装,グループ1,800
yomitan,読谷村,沖縄県,未実装,グループ1,805
